69-001	64
69-010	10
69-012	7
69-016	6
69-021	13
69-022	6
69-023	15
69-026	34
69-027	16
69-031	12
69-032	16
69-034	6
69-035	8
69-036	13
69-037	23
69-040	10
69-041	7
69-043	22
69-045	7
69-046	9
69-047	7
69-048	15
69-053	26
69-055	5
69-057	6
69-058	9
69-060	5
69-063	12
69-068	8
69-069	13
69-071	5
69-073	8
69-074	5
69-077	8
69-079	7
69-085	9
69-090	17
69-091	8
69-111	5
69-114	5
69-122	5
69-123	5
70-1001	21
70-1002	13
70-1004	9
70-1005	17
70-1006	17
70-1008	23
70-1010	13
70-1011	6
70-1012	19
70-1014	18
70-1015	9
