SampleID	Abiotrophia	Acetobacterium	Acidaminococcus	Acidovorax	Acinetobacter	Actinomyces	Akkermansia	Alistipes	Allisonella	Anaerofilum	Anaerofustis	Anaeroplasma	Anaerorhabdus	Anaerostipes	Anaerotruncus	Anaerovorax	Anoxybacillus	Arcobacter	Atopobium	Bacillus	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brachybacterium	Brachyspira	Bradyrhizobium	Brevibacillus	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Catenibacterium	Cellulosilyticum	Cetobacterium	Chlorophyta	Chryseobacterium	Cloacibacillus	Clostridium IV	Clostridium XI	Clostridium XVIII	Clostridium XlVa	Clostridium XlVb	Clostridium sensu stricto	Collinsella	Comamonas	Coprobacillus	Coprococcus	Coraliomargarita	Coriobacterium	Corynebacterium	Desulfovibrio	Dialister	Dolosigranulum	Dorea	Dysgonomonas	Eggerthella	Eikenella	Elusimicrobium	Enterobacter	Enterococcus	Enterorhabdus	Erysipelotrichaceae_incertae_sedis	Escherichia/Shigella	Eubacterium	Faecalibacterium	Flavobacterium	Flavonifractor	Fusobacterium	Gardnerella	Gemella	Gordonibacter	Granulicatella	Haemophilus	Holdemania	Howardella	Hydrogenoanaerobacterium	Klebsiella	Kytococcus	Lachnospiracea_incertae_sedis	Lactobacillus	Lactococcus	Lactonifactor	Leuconostoc	Megamonas	Megasphaera	Mitsuokella	Mogibacterium	Moraxella	Murdochiella	Neisseria	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Oxalobacter	Parabacteroides	Paraprevotella	Parasporobacterium	Parasutterella	Parvimonas	Pediococcus	Pelospora	Peptococcus	Peptoniphilus	Phascolarctobacterium	Porphyromonas	Prevotella	Propionibacterium	Proteus	Pseudoflavonifractor	Pseudomonas	Pyramidobacter	Ralstonia	Roseburia	Rothia	Ruminococcus	Slackia	Solobacterium	Sporobacter	Staphylococcus	Streptococcus	Streptophyta	Subdoligranulum	Succinatimonas	Sutterella	TM7_genera_incertae_sedis	Turicibacter	Varibaculum	Veillonella	Victivallis	Weissella	Zymophilus	unclassified_Acidaminococcaceae	unclassified_Actinobacteria	unclassified_Actinomycetales	unclassified_Alphaproteobacteria	unclassified_Bacteria	unclassified_Bacteroidales	unclassified_Bacteroidetes	unclassified_Burkholderiales	unclassified_Clostridia	unclassified_Clostridiaceae 1	unclassified_Clostridiales	unclassified_Clostridiales_Incertae Sedis XIII	unclassified_Coriobacteriaceae	unclassified_Deltaproteobacteria	unclassified_Desulfovibrionaceae	unclassified_Enterobacteriaceae	unclassified_Erysipelotrichaceae	unclassified_Firmicutes	unclassified_Flavobacteriales	unclassified_Fusobacteriaceae	unclassified_Lachnospiraceae	unclassified_Micrococcaceae	unclassified_Opitutae	unclassified_Pasteurellaceae	unclassified_Peptococcaceae 1	unclassified_Porphyromonadaceae	unclassified_Prevotellaceae	unclassified_Proteobacteria	unclassified_Rhizobiales	unclassified_Ruminococcaceae	unclassified_Sphingomonadaceae	unclassified_Succinivibrionaceae	unclassified_Sutterellaceae
69-001-1012	0	0	0	0	0	0	59	86	0	0	1	0	0	0	4	8	0	0	0	0	3475	6	0	0	421	0	0	0	0	1	1	0	2	0	0	0	0	0	0	23	157	0	0	18	2	4	0	0	74	0	0	0	0	0	0	84	0	0	0	0	0	0	0	1	1	0	759	0	6	0	0	0	0	2	0	1	7	0	0	0	950	0	0	0	0	0	0	0	0	0	0	0	8	0	0	316	2	199	8	0	0	0	0	0	0	0	19	0	3	0	0	5	0	1	0	49	0	0	0	0	0	0	1	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	444	0	0	0	1	0	486	11	8	0	0	0	36	19	0	0	390	0	0	0	0	0	0	3	0	13063	0	0	0
69-001-1015	0	0	0	0	0	0	26	199	0	0	0	0	0	0	0	7	0	0	0	0	14670	15	0	0	282	0	0	0	0	4	4	0	0	0	0	0	0	0	0	9	92	4	1	14	39	1	0	0	76	0	0	0	1	0	0	62	0	0	0	0	0	0	0	0	0	0	294	0	4	1	0	0	0	0	0	1	9	0	0	0	732	0	0	0	0	0	0	0	0	0	0	0	57	0	0	46	2	314	460	1	2	0	0	0	0	0	12	0	0	0	0	1	0	1	0	232	0	0	0	0	1	0	1	0	0	0	21	0	0	0	1	10	0	0	0	0	0	56	530	5	0	0	0	0	277	2	1	0	1	0	87	164	0	0	931	0	0	0	0	1	0	45	0	1424	0	0	0
69-001-1021	0	0	0	0	0	0	1	218	0	0	0	0	0	0	2	6	0	0	0	0	10361	63	0	0	186	0	0	0	0	11	30	0	0	0	0	0	0	0	0	208	20	1	20	30	0	19	0	0	205	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	1221	0	0	0	0	0	0	0	2	4	2	0	0	0	971	0	0	0	0	0	0	0	0	0	0	0	88	0	0	256	1	278	397	2	12	0	0	0	0	0	280	0	0	1	0	5	0	0	0	316	0	0	0	0	0	0	1	1	0	0	232	0	10	0	9	7	0	0	0	0	0	124	876	4	0	0	0	0	132	2	4	0	0	0	10	21	0	0	2815	0	0	0	1	334	0	441	0	947	0	0	0
69-001-1022	0	0	0	0	0	0	6	479	0	1	0	0	0	0	18	5	0	0	0	0	6452	392	0	2	212	0	0	0	0	54	157	0	28	0	0	0	0	0	0	539	43	7	77	23	1	23	0	0	121	0	0	0	0	0	0	42	0	1	0	0	0	0	0	0	3	0	1880	0	18	0	0	0	1	0	0	4	2	0	0	0	946	0	0	0	0	0	0	0	0	0	0	0	165	0	0	1377	8	352	57	2	28	0	0	0	0	0	285	0	185	0	0	5	0	4	0	184	0	0	0	0	0	0	1	2	0	0	314	1	4	0	5	37	0	0	0	0	0	49	1591	5	1	0	14	0	473	0	9	0	3	0	40	218	0	0	2297	0	0	0	0	114	26	371	0	1463	0	0	0
69-001-1023	0	0	0	0	0	0	0	283	0	0	0	0	0	0	6	0	0	0	0	0	10380	107	0	0	250	0	0	0	0	18	68	0	1	0	0	0	0	0	0	184	28	1	10	18	3	18	0	0	187	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	1228	0	12	0	0	0	0	1	0	0	3	0	4	0	970	0	0	0	0	0	0	0	0	0	0	0	116	0	0	290	0	318	637	0	27	0	0	0	0	0	181	0	1	0	0	3	0	0	0	184	0	0	0	0	1	0	0	0	0	0	243	0	4	0	0	21	0	0	0	0	0	22	610	3	0	0	0	0	196	3	4	0	1	0	13	332	0	0	2431	0	0	0	0	87	0	7	0	1643	0	0	0
69-001-1025	0	0	0	0	0	0	0	89	0	0	0	0	0	0	7	6	0	0	0	0	10604	68	0	0	328	0	0	0	0	10	23	0	0	0	0	0	0	0	0	19	0	12	13	22	0	0	0	0	22	0	0	0	0	0	0	37	0	1	0	0	0	0	0	13	0	0	2231	0	12	0	0	0	3	0	0	8	9	0	0	0	2738	0	0	0	0	0	0	0	0	0	0	0	64	0	0	347	0	255	1121	0	219	0	0	0	0	0	163	0	0	0	0	8	0	0	0	515	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	68	357	4	0	0	2	0	153	1	4	0	0	0	1	3	0	0	1239	0	0	0	0	8	0	98	0	317	0	0	0
69-001-1042	0	0	0	0	0	0	3	994	0	2	1	0	0	0	6	19	0	0	0	0	7463	132	0	4	264	0	0	0	0	69	63	0	0	0	0	0	0	0	0	1168	113	9	23	60	15	44	0	0	29	0	0	0	0	0	0	309	0	0	0	0	0	0	0	1	1	0	2698	0	11	0	0	0	2	0	0	5	0	1	0	0	1398	0	0	0	0	0	0	0	0	0	0	0	69	0	0	315	19	688	420	0	35	0	0	2	0	0	324	0	0	0	0	6	0	0	0	360	0	135	0	0	5	0	0	0	0	0	262	0	28	0	8	40	0	0	0	0	0	2	639	3	0	0	9	0	334	7	20	0	6	0	3	14	0	0	1825	0	0	0	1	60	0	36	0	648	0	0	0
69-001-1043	0	0	0	0	0	1	50	383	0	0	0	0	0	0	11	2	0	0	0	0	5707	42	0	3	284	0	0	0	0	24	68	0	0	0	0	0	0	0	0	662	69	14	13	25	4	64	0	0	49	0	0	0	2	0	0	154	0	0	0	0	2	0	0	1	0	0	2642	0	6	0	0	0	1	0	0	0	3	0	0	0	1100	0	0	0	0	0	0	0	0	0	0	0	63	0	0	292	2	724	751	0	48	0	0	0	0	0	150	0	0	0	0	9	0	0	0	351	0	766	0	0	1	0	7	0	0	0	275	0	0	0	1	138	0	0	0	0	0	0	2154	1	0	0	4	0	216	7	11	0	4	0	0	111	0	3	2212	0	0	0	2	52	1	1108	0	380	0	0	0
69-001-2001	0	0	0	0	0	0	11	385	0	0	0	0	0	0	1	9	0	0	0	0	13689	98	0	0	153	0	0	0	0	7	19	0	0	0	0	0	0	0	0	75	176	4	5	13	9	1	0	0	78	0	0	1	0	0	0	63	0	0	0	0	0	0	0	0	0	0	214	0	2	0	0	0	0	0	0	2	7	0	0	0	623	0	0	0	0	0	0	0	0	0	0	0	177	0	0	41	2	536	55	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	311	0	0	0	0	1	0	0	0	0	0	19	0	6	0	0	4	0	0	0	0	0	29	674	37	0	0	0	0	1298	8	6	0	0	0	77	119	0	0	1424	0	0	0	1	4	0	199	0	545	0	0	0
69-001-2002	0	0	0	0	0	0	9	483	0	0	1	0	0	0	8	3	0	0	0	0	12235	210	0	0	87	0	0	0	0	11	11	0	0	0	0	0	0	0	0	268	65	4	2	25	6	1	0	0	75	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	885	0	2	0	0	0	0	0	0	1	14	0	0	0	440	0	1	0	0	0	0	0	0	0	0	0	219	0	0	76	2	665	243	3	0	0	0	0	0	0	7	0	0	0	0	4	0	2	0	115	0	0	0	0	0	0	1	0	0	0	38	0	0	0	0	4	0	0	0	0	0	21	1044	8	0	0	0	0	744	7	4	0	0	0	87	187	0	0	1798	0	0	0	1	1	0	440	0	609	0	0	0
69-001-4021	0	0	0	0	0	1	0	214	0	0	0	0	0	0	1	1	0	0	0	0	11509	67	0	0	131	0	0	0	0	13	27	0	0	0	0	0	0	0	0	44	0	10	23	42	0	0	0	0	16	0	0	0	0	0	0	33	0	0	0	0	0	0	0	9	1	0	1086	0	2	0	0	0	0	0	1	0	2	0	0	0	2143	0	0	0	0	0	0	0	0	0	0	0	85	0	0	544	5	349	1072	0	128	0	0	0	0	0	219	0	0	0	0	5	0	0	0	263	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	481	9	0	0	0	0	144	4	0	0	0	0	0	1	0	0	1335	0	0	0	0	28	0	851	0	188	0	0	0
69-001-4024	0	0	0	0	0	0	0	876	0	0	2	0	0	0	6	8	0	0	0	0	7947	86	0	2	224	0	0	0	0	33	64	0	0	0	0	0	0	0	0	180	38	12	12	82	14	71	0	0	27	0	0	0	2	0	0	242	0	0	0	0	0	0	0	11	0	0	3022	0	17	0	0	0	2	0	0	15	3	2	0	0	1398	0	0	0	0	0	0	0	0	0	0	0	98	0	0	766	14	340	342	2	32	0	0	0	0	0	393	0	8	0	0	12	0	2	0	295	0	0	0	0	3	0	0	0	0	0	424	0	5	0	0	180	0	0	0	0	0	2	620	12	0	0	0	0	354	2	6	0	5	0	2	118	0	0	1456	0	0	0	0	8	2	390	0	944	0	0	0
69-001-4025	0	0	0	0	0	0	0	435	0	0	0	0	0	0	9	15	0	0	0	0	9708	274	0	1	114	0	0	0	0	12	192	0	0	0	0	0	0	0	0	307	13	3	255	42	4	31	0	19	3	0	0	0	0	0	0	63	0	0	0	0	1	0	0	2	104	0	2133	0	19	0	0	0	0	0	0	4	0	1	4	0	681	0	0	0	0	0	0	0	0	0	0	0	240	0	0	797	6	345	119	1	40	0	0	0	0	0	159	0	3	0	0	7	0	2	0	201	0	0	0	0	1	0	1	0	0	0	208	0	3	0	0	267	0	0	0	0	0	7	1611	383	1	0	2	0	230	3	12	0	7	0	0	111	0	0	1081	0	0	0	0	8	1	352	0	571	0	0	0
69-001-4026	0	0	0	0	0	0	96	232	0	1	0	0	0	0	6	4	0	0	0	0	3433	74	3	1	261	0	0	0	0	13	65	0	4	0	0	0	0	0	0	363	25	3	3	18	18	388	0	0	289	0	0	0	2	5	0	68	0	0	0	0	0	0	0	0	1	0	4769	0	9	0	0	0	3	0	0	0	8	0	0	0	1557	0	0	0	0	0	0	0	0	0	0	0	49	0	0	1127	2	125	490	0	4	0	0	1	0	0	330	0	2	0	0	13	0	1	0	78	0	0	0	0	0	0	1	1	0	0	306	0	3	0	2	351	0	0	0	0	0	335	2646	1	1	0	1	0	388	6	9	0	2	0	47	179	0	0	1425	0	0	0	0	0	2	365	0	1216	0	0	0
