"","V1","V2","V3","V4","V5","V6","V7","V8","V9","ID"
"GAOICDYI","J00825","1","ST","T0","B0","0120","ZN9YTFN-01","AA31J.flitered","AA31J","GAOICDYI"
"YAPEYQXM","J00826","1","ST","T0","B0","0120","ZN9YTFN-1011","AA31J.flitered","AA31J","YAPEYQXM"
"UYQRMTMO","J00827","1","ST","T0","B0","0120","ZN9YTFN-1012","AA31J.flitered","AA31J","UYQRMTMO"
"NCXNWHDN","J00828","1","ST","T0","B0","0120","ZN9YTFN-1013","AA31J.flitered","AA31J","NCXNWHDN"
"CTRJICQQ","J00829","1","ST","T0","B0","0120","ZN9YTFN-1014","AA31J.flitered","AA31J","CTRJICQQ"
"GMDUKKMU","J00830","1","ST","T0","B0","0120","ZN9YTFN-1015","AA31J.flitered","AA31J","GMDUKKMU"
"ZSCAMYLI","J00831","1","ST","T0","B0","0122","ZMGT937-01","AA31J.flitered","AA31J","ZSCAMYLI"
"AQHCQYRI","J00832","1","ST","T0","B0","0122","ZMGT937-02","AA31J.flitered","AA31J","AQHCQYRI"
"AACGKUBH","J00833","1","ST","T0","B0","0122","ZMGT937-1013","AA31J.flitered","AA31J","AACGKUBH"
"ZIOZWOIZ","J00834","1","ST","T0","B0","0122","ZMGT937-1014","AA31J.flitered","AA31J","ZIOZWOIZ"
"SIWCBAKD","J00835","1","ST","T0","B0","0122","ZLZQMEV-01","AA31J.flitered","AA31J","SIWCBAKD"
"HALPRNGV","J00836","1","ST","T0","B0","0120","ZLZQMEV-03","AA31J.flitered","AA31J","HALPRNGV"
"YHTJBBAW","J00837","1","ST","T0","B0","0122","ZLZQMEV-1012","AA31J.flitered","AA31J","YHTJBBAW"
"SMQOTBGA","J00838","1","ST","T0","B0","0122","ZLZQMEV-1014","AA31J.flitered","AA31J","SMQOTBGA"
"VSBSKRDH","J00839","1","ST","T0","B0","0122","ZLZQMEV-1015","AA31J.flitered","AA31J","VSBSKRDH"
"YIOYWJIH","J00840","1","ST","T0","B0","0120","ZLZNCLZ-01","AA31J.flitered","AA31J","YIOYWJIH"
"MUJWXKCU","J00841","1","ST","T0","B0","0120","ZLZNCLZ-1013","AA31J.flitered","AA31J","MUJWXKCU"
"ZHTVQCNX","J00842","1","ST","T0","B0","0122","ZLYEM2C-01","AA31J.flitered","AA31J","ZHTVQCNX"
"VJSOWVEG","J00843","1","ST","T0","B0","0122","ZLYEM2C-03","AA31J.flitered","AA31J","VJSOWVEG"
"ROQGZRDY","J00844","1","ST","T0","B0","0122","ZLYEM2C-1011","AA31J.flitered","AA31J","ROQGZRDY"
"TGACQLGL","J00845","1","ST","T0","B0","0120","ZLGD9M0-05","AA31J.flitered","AA31J","TGACQLGL"
"DWVMKPHM","J00846","1","ST","T0","B0","0122","ZLGD9M0-07","AA31J.flitered","AA31J","DWVMKPHM"
"KPQMXEJX","J00847","1","ST","T0","B0","0122","ZLGD9M0-1012","AA31J.flitered","AA31J","KPQMXEJX"
"OSSLLOCJ","J00848","1","ST","T0","B0","0122","ZLGD9M0-1013","AA31J.flitered","AA31J","OSSLLOCJ"
