"","KitID","SampleID","Date","Barcodes","SampleType"
"1","UBMkid100105565","69-047-05","6/19/15","NA0008363514","Mouth"
"2","UBMkid101104871","69-053-4015","8/7/14","NA0009404794","Mouth"
"3","UBMkid101127939","70-1014-02","7/2/14","NA0010629657","Skin"
"4","UBMkid102107493","69-024-02","4/16/14","NA0008332896","Mouth"
"5","UBMkid102129158","69-069-6031","4/25/16","NA0011470417","Skin"
"6","UBMkid102819459","69-001","2/11/14","NA0014732835","Skin"
"7","UBMkid103127891","69-063-8012","8/23/17","NA0010629663","Skin"
"8","UBMkid103128088","70-1012-2013","12/20/13","NA0008948196","Skin"
"9","UBMkid103128559","69-023-6011","1/22/15","NA0008331009","Skin"
"10","UBMkid103129011","69-064-09","7/14/16","NA0008933006","Skin"
"11","UBMkid104104948","70-1015-6025","7/2/15","NA0008332501","Mouth"
"12","UBMkid104105643","70-1003-12","8/6/15","NA0008363519","Mouth"
"13","UBMkid104819585","69-109-7018","9/28/16","NA0014732820","Skin"
"14","UBMkid105129245","69-111-6026","2/19/16","NA0008898256","Skin"
"15","UBMkid106104700","69-081-03","10/12/15","NA0009404809","Mouth"
"16","UBMkid106104744","69-048-2014","10/8/14","NA0009404801","Mouth"
"17","UBMkid106104910","69-071-02","2/20/15","NA0008332503","Mouth"
"18","UBMkid107105598","69-069-6014","8/17/15","NA0008363487","Mouth"
"19","UBMkid107128785","69-032-5011","9/17/14","NA0008330984","Skin"
"20","UBMkid108104719","69-081-01","3/4/15","NA0009404810","Mouth"
"21","UBMkid108104985","69-104-6012","8/19/15","NA0008332499","Mouth"
"22","UBMkid108105069","69-105-02","9/15/15","NA0008332514","Mouth"
"23","UBMkid108819837","69-001","12/19/15","NA0014732840","Skin"
"24","UBMkid108819858","70-1010-2043","1/16/18","NA0014732841","Skin"
"25","UBMkid109105057","70-1006-12","9/15/15","NA0008332483","Mouth"
"26","UBMkid110104647","69-026-2025","5/26/15","NA0009404807","Mouth"
"27","UBMkid110128320","69-041-4011","6/25/14","NA0010630087","Skin"
"28","UBMkid110128670","69-023-6023","4/9/15","NA0008898696","Skin"
"29","UBMkid111128207","70-1015-03","3/31/14","NA0010630079","Skin"
"30","UBMkid111129247","69-120-02","2/2/16","NA0011470419","Skin"
"31","UBMkid113127915","69-107-6015","10/29/15","NA0011525153","Skin"
"32","UBMkid113128322","69-078-07","11/30/16","NA0008948209","Skin"
"33","UBMkid113129417","69-001-7030","4/28/16","NA0011470426","Skin"
"34","UBMkid113819450","69-077-11","3/22/18","NA0014756508","Skin"
"35","UBMkid113819948","69-001","9/27/14","NA0014732821","Skin"
"36","UBMkid114104606","69-040-2012","10/7/14","NA0009404827","Mouth"
"37","UBMkid114107308","69-013-1013","12/5/14","NA0008352331","Mouth"
"38","UBMkid114128237","63-032-1053","8/17/17","NA0008948231","Skin"
"39","UBMkid114128686","70-1011-07","1/8/15","NA0008330985","Skin"
"40","UBMkid114819420","70-1008-12","4/16/18","NA0014732815","Skin"
"41","UBMkid115127935","69-107-04","7/7/17","NA0011525147","Skin"
"42","UBMkid115128166","70-1005-1013","4/2/14","NA0011525128","Skin"
"43","UBMkid115819153","70-1010-2044","1/30/18","NA0014756503","Skin"
"44","UBMkid116105054","69-041-06","8/31/15","NA0008332510","Mouth"
"45","UBMkid116107484","69-052-01","4/17/14","NA0008352243","Mouth"
"46","UBMkid116128964","70-1010-6014","5/31/16","NA0008941297","Skin"
"47","UBMkid117127875","70-1005-6036","11/28/16","NA0011525144","Skin"
"48","UBMkid117127943","69-090-1031","11/10/16","NA0010629664","Skin"
"49","UBMkid117128090","69-063-8014","8/30/17","NA0008948205","Skin"
"50","UBMkid118104697","69-004-04","3/14/14","NA0009404825","Mouth"
"51","UBMkid118104990","69-087-02","9/17/15","NA0008332488","Mouth"
"52","UBMkid118105561","69-027-04","7/16/14","NA0008363516","Mouth"
"53","UBMkid119104916","69-023-6015","2/16/15","NA0008332507","Mouth"
"54","UBMkid120128336","70-1014-03","3/31/14","NA0010630075","Skin"
"55","UBMkid120128618","70-1008-2015","11/25/14","NA0008949543","Skin"
"56","UBMkid121105522","69-073-03","5/12/15","NA0008360808","Mouth"
"57","UBMkid121105725","69-032-5011","9/17/14","NA0008363522","Mouth"
"58","UBMkid121107470","69-037-2015","12/1/14","NA0008352315","Mouth"
"59","UBMkid121127800","70-1005-1021","7/9/14","NA0010629667","Skin"
"60","UBMkid121128784","69-084-01","3/25/15","NA0008898679","Skin"
"61","UBMkid122105698","70-1005-10","2/3/15","NA0008363505","Mouth"
"62","UBMkid122129043","69-125-01","7/7/16","NA0008941308","Skin"
"63","UBMkid122819180","69-001","6/2/14","NA0014732810","Skin"
"64","UBMkid123105506","69-053-1033","6/12/15","NA0008363497","Mouth"
"65","UBMkid123107368","69-024-01","10/14/13","NA0008352320","Mouth"
"66","UBMkid123128057","69-026-2031","10/15/15","NA0008948199","Skin"
"67","UBMkid123128653","70-1004-09","8/19/14","NA0008898690","Skin"
"68","UBMkid124105187","69-032-08","9/23/15","NA0008331869","Mouth"
"69","UBMkid124105705","70-1006-11","4/30/15","NA0008363503","Mouth"
"70","UBMkid124129091","70-1010-6011","5/10/16","NA0008932995","Skin"
"71","UBMkid124129201","se1_b","4/2/17","NA0008949678","Skin"
"72","UBMkid125104666","69-026-2013","10/6/14","NA0009404789","Mouth"
"73","UBMkid125105576","69-053-4012","7/18/14","NA0008363476","Mouth"
"74","UBMkid125128607","69-063-6034","4/6/15","NA0008949573","Skin"
"75","UBMkid125819063","69-047-12","5/21/18","NA0014732837","Skin"
"76","UBMkid126104828","69-012-03","6/14/13","NA0008332136","Mouth"
"77","UBMkid126104968","70-1008-10","7/21/15","NA0008332472","Mouth"
"78","UBMkid126129183","69-097-03","2/4/16","NA0011470423","Skin"
"79","UBMkid126819840","69-114-5013","11/20/17","NA0014732846","Skin"
"80","UBMkid127105031","69-001-1023","7/1/15","NA0008353287","Mouth"
"81","UBMkid127129379","69-086-04","4/29/16","NA0011470390","Skin"
"82","UBMkid127819441","69-043-14","2/12/18","NA0014732839","Skin"
"83","UBMkid128104667","69-085-1011","11/18/15","NA0008332138","Mouth"
"84","UBMkid128107542","69-010-1024","12/9/14","NA0008352328","Mouth"
"85","UBMkid128129090","69-123-6034","5/9/16","NA0008948138","Skin"
"86","UBMkid128819933","69-129-03","2/28/18","NA0014732844","Skin"
"87","UBMkid129107399","69-035-01","11/13/13","NA0008331848","Mouth"
"88","UBMkid129129374","69-041-07","3/4/16","NA0011470386","Skin"
"89","UBMkid130104957","70-1003-14","2/11/16","NA0008353276","Mouth"
"90","UBMkid130105747","69-053-4011","7/17/14","NA0008363500","Mouth"
"91","UBMkid130819531","69-122-8015","2/21/18","NA0014732829","Skin"
"92","UBMkid131104688","69-104-6013","8/26/15","NA0009889544","Mouth"
"93","UBMkid131104731","69-079-1013","3/6/15","NA0008332168","Mouth"
"94","UBMkid131105117","70-1011-10","9/29/15","NA0008353292","Mouth"
"95","UBMkid131128963","69-103-04","5/31/16","NA0008932992","Skin"
"96","UBMkid131129019","70-1005-6024","8/1/16","NA0008941278","Skin"
"97","UBMkid131129228","69-111-6024","2/9/16","NA0008898288","Skin"
"98","UBMkid132128917","69-122-02","7/18/16","NA0008948180","Skin"
"99","UBMkid133128783","69-053-4013","7/21/14","NA0008949539","Skin"
"100","UBMkid134105001","69-103-01","7/23/15","NA0008353297","Mouth"
"101","UBMkid134128622","69-033-05","1/9/15","NA0008898704","Skin"
"102","UBMkid134128675","69-048-2011","9/30/14","NA0008331013","Skin"
"103","UBMkid134128719","69-085-01","3/24/15","NA0008898678","Skin"
"104","UBMkid135105192","70-1006-1025","1/19/16","NA0008353264","Mouth"
"105","UBMkid135128647","69-058-01","7/21/14","NA0008949577","Skin"
"106","UBMkid136127846","69-026-2063","10/10/17","NA0010629672","Skin"
"107","UBMkid136127963","70-1005-06","2/19/14","NA0010629673","Skin"
"108","UBMkid136128904","70-1005-6025","8/4/16","NA0008941304","Skin"
"109","UBMkid137104809","69-107-6016","11/5/15","NA0008332478","Mouth"
"110","UBMkid137105116","69-074-6024","4/30/15","NA0008362378","Mouth"
"111","UBMkid137107449","69-036-1015","1/22/14","NA0008332872","Mouth"
"112","UBMkid137107500","69-063-6012","11/24/14","NA0008332875","Mouth"
"113","UBMkid137129171","69-114-6024","4/4/16","NA0008898278","Skin"
"114","UBMkid138105079","69-023-6034","7/22/15","NA0008353294","Mouth"
"115","UBMkid138105180","69-073-04","8/19/15","NA0008353273","Mouth"
"116","UBMkid138105607","69-028-6022","6/8/15","NA0008363517","Mouth"
"117","UBMkid138105671","70-1002-11","7/21/15","NA0008363481","Mouth"
"118","UBMkid138127920","70-1010-04","4/2/16","NA0010629635","Skin"
"119","UBMkid138129092","69-111-03","5/26/16","NA0008933003","Skin"
"120","UBMkid139128838","69-010-1025","12/15/14","NA0008949534","Skin"
"121","UBMkid140129026","69-060-07","5/24/16","NA0008948171","Skin"
"122","UBMkid140819747","69-109-7012","9/14/16","NA0014732809","Skin"
"123","UBMkid141105012","69-027-08","8/6/15","NA0008360832","Mouth"
"124","UBMkid141105753","69-058-01","7/21/14","NA0008363515","Mouth"
"125","UBMkid141107422","69-069-01","11/25/14","NA0008332856","Mouth"
"126","UBMkid142104823","69-079-04","2/2/16","NA0009889565","Mouth"
"127","UBMkid142105734","69-026-1015","12/12/14","NA0008363508","Mouth"
"128","UBMkid142128703","69-061-01","9/17/14","NA0008330988","Skin"
"129","UBMkid142819462","69-036-15","11/28/17","NA0014732802","Skin"
"130","UBMkid143104620","69-069-6015","8/20/15","NA0008332490","Mouth"
"131","UBMkid143127818","69-022-07","10/16/15","NA0011525165","Skin"
"132","UBMkid144104864","69-046-06","8/19/15","NA0008332516","Mouth"
"133","UBMkid144129023","70-1010-6015","6/3/16","NA0008941293","Skin"
"134","UBMkid144819795","69-001","11/1/13","NA0014732825","Skin"
"135","UBMkid145105101","70-1005-12","9/17/15","NA0008332500","Mouth"
"136","UBMkid145128038","70-1003-06","1/22/14","NA0011525143","Skin"
"137","UBMkid145129038","69-037-13","7/18/16","NA0008941290","Skin"
"138","UBMkid145129098","70-1006-15","8/8/16","NA0008948170","Skin"
"139","UBMkid146104952","70-1001-13","9/29/15","NA0008332515","Mouth"
"140","UBMkid146104979","69-021-08","8/13/15","NA0008353285","Mouth"
"141","UBMkid146129341","69-123-6013","5/2/16","NA0008898271","Skin"
"142","UBMkid147104886","69-001-7018","2/2/16","NA0009889579","Mouth"
"143","UBMkid147107532","69-016-02","12/11/13","NA0008332898","Mouth"
"144","UBMkid147127753","69-041-02","6/11/14","NA0010629629","Skin"
"145","UBMkid148105029","69-043-2023","10/2/15","NA0008353280","Mouth"
"146","UBMkid148105770","69-028-1024","1/22/15","NA0008363507","Mouth"
"147","UBMkid148129347","69-001-7024","3/10/16","NA0011470393","Skin"
"148","UBMkid148129353","69-107-6025","4/7/16","NA0008898283","Skin"
"149","UBMkid149105164","69-074-2011","11/2/15","NA0008353270","Mouth"
"150","UBMkid149105168","69-074-6034","8/7/15","NA0008353291","Mouth"
"151","UBMkid150105074","70-1006-1014","1/5/16","NA0008353252","Mouth"
"152","UBMkid150105589","69-074-6026","5/10/15","NA0008363496","Mouth"
"153","UBMkid150129340","69-100-6021","2/22/16","NA0011470397","Skin"
"154","UBMkid150819273","70-1005-1033","3/14/18","NA0014732818","Skin"
"155","UBMkid150819279","70-1006-17","6/5/18","NA0014732836","Skin"
"156","UBMkid151128664","69-011-02","9/26/14","NA0008330996","Skin"
"157","UBMkid151129390","69-026-1025","3/4/16","NA0008898287","Skin"
"158","UBMkid151819633","69-031-11","2/23/18","NA0014732819","Skin"
"159","UBMkid151819666","69-010-09","12/21/17","NA0014732808","Skin"
"160","UBMkid152107539","69-047-01","5/21/14","NA0008332865","Mouth"
"161","UBMkid152129281","69-080-04","2/19/16","NA0011470382","Skin"
"162","UBMkid153129358","69-113-03","2/18/16","NA0011470414","Skin"
"163","UBMkid156104717","69-060-05","8/18/15","NA0008332497","Mouth"
"164","UBMkid156107330","69-065-02","11/25/14","NA0008332881","Mouth"
"165","UBMkid157128737","69-023-6021","3/26/15","NA0008898715","Skin"
"166","UBMkid158105654","69-026-06","1/22/15","NA0008363494","Mouth"
"167","UBMkid158105765","69-099-01","6/24/15","NA0008363480","Mouth"
"168","UBMkid159105011","70-1005-14","2/4/16","NA0008353259","Mouth"
"169","UBMkid159107534","69-071-01","11/19/14","NA0008332894","Mouth"
"170","UBMkid160104756","69-071-04","8/27/15","NA0009889550","Mouth"
"171","UBMkid160129305","69-124-01","1/29/16","NA0008949697","Skin"
"172","UBMkid161128550","69-034-06","3/25/15","NA0008949551","Skin"
"173","UBMkid162105355","69-010-1025","12/15/14","NA0008333200","Mouth"
"174","UBMkid162107361","69-037-1023","7/25/14","NA0008332870","Mouth"
"175","UBMkid162127888","70-1006-07","6/4/14","NA0010629653","Skin"
"176","UBMkid163127908","70-1004-1011","11/1/13","NA0010629648","Skin"
"177","UBMkid163819321","69-026-14","6/4/18","NA0014732833","Skin"
"178","UBMkid164127747","69-041-4013","7/1/14","NA0010629661","Skin"
