genus,bodysite,family_score,Phylum,dmi,bootstrap_mean,bootstrap_sd,trimmed
Acidaminococcus,Stool,0,Firmicutes,0.3,0.320276732,0.008957774,no
Acutalibacter,Stool,0.01,Firmicutes,0.28,0.280535642,0.009572588,no
Adlercreutzia,Stool,0,Actinobacteria,0.25,0.249458654,0.006477062,no
Agathobacter,Stool,0,Firmicutes,0.19,0.187596123,0.001812286,no
Agathobaculum,Stool,0.11,Firmicutes,0.24,0.245567213,0.005260579,no
Akkermansia,Stool,0,Other,0.21,0.212631323,0.003401029,no
Alistipes,Stool,0,Bacteroidetes,0.29,0.286930323,0.001594875,no
Allisonella,Stool,0,Firmicutes,0.3,0.376806165,0.06444241,yes
Aminipila,Stool,0,Firmicutes,0.31,0.344761213,0.02827163,yes
Anaerobutyricum,Stool,0.08,Firmicutes,0.19,0.186462858,0.002344544,no
Anaerofilum,Stool,0,Firmicutes,0.28,0.268417971,0.024315149,yes
Anaeromassilibacillus,Stool,0.02,Firmicutes,0.27,0.27313929,0.00320044,no
Anaerostipes,Stool,0.28,Firmicutes,0.17,0.164589011,0.002113399,no
Anaerotignum,Stool,0.07,Firmicutes,0.26,0.265396336,0.002707925,no
Anaerotruncus,Stool,0,Firmicutes,0.21,0.212268632,0.004424753,no
Bacteroides,Stool,0,Bacteroidetes,0.32,0.315529279,0.001644765,no
Barnesiella,Stool,0,Bacteroidetes,0.43,0.427605819,0.002679772,no
Beduinibacterium,Stool,0,Firmicutes,0.17,0.176516988,0.003438735,no
Bifidobacterium,Stool,0.02,Actinobacteria,0.23,0.220386386,0.034944616,yes
Bilophila,Stool,0.1,Proteobacteria,0.25,0.242611564,0.007620467,no
Blautia,Stool,0.12,Firmicutes,0.17,0.173343494,0.000964034,no
Butyricicoccus,Stool,0.01,Firmicutes,0.19,0.188580766,0.002741932,no
Butyricimonas,Stool,0.02,Bacteroidetes,0.24,0.239179564,0.003061913,no
Butyrivibrio,Stool,0,Firmicutes,0.39,0.387550709,0.002878832,no
Campylobacter,Stool,0,Other,0.32,0.309457614,0.031673993,yes
Caproiciproducens,Stool,0,Firmicutes,0.33,0.379484668,0.114152414,yes
Catabacter,Stool,0.12,Firmicutes,0.12,0.120294593,0.002564374,no
Catenibacterium,Stool,0,Firmicutes,0.33,0.347143604,0.01561986,no
Christensenella,Stool,0,Firmicutes,0.31,0.392036685,0.061868837,yes
Cloacibacillus,Stool,0,Other,0.16,0.156942145,0.011323191,yes
Clostridium_IV,Stool,0.03,Firmicutes,0.26,0.25581299,0.002547526,no
Clostridium_sensu_stricto,Stool,0.32,Firmicutes,0.04,0.036863058,0.002339614,no
Clostridium_XlVa,Stool,0,Firmicutes,0.2,0.202827325,0.006839642,no
Clostridium_XVIII,Stool,0.26,Firmicutes,0.29,0.283658483,0.003938925,no
Colidextribacter,Stool,0,Firmicutes,0.29,0.289401318,0.006940348,no
Collinsella,Stool,0.03,Actinobacteria,0.21,0.208514485,0.00249323,no
Coprobacter,Stool,0,Bacteroidetes,0.31,0.31195904,0.003635183,no
Coprococcus,Stool,0.1,Firmicutes,0.21,0.21084596,0.001824683,no
Coraliomargarita,Stool,0,Other,0.21,0.249185512,0.029535539,yes
Cuneatibacter,Stool,0,Firmicutes,0.06,0.064934742,0.002251581,no
Desulfovibrio,Stool,0.01,Proteobacteria,0.34,0.332109504,0.010000986,no
Dialister,Stool,0,Firmicutes,0.31,0.317606038,0.008948898,no
Dielma,Stool,0.43,Firmicutes,0.15,0.130729627,0.019002115,yes
Dorea,Stool,0,Firmicutes,0.13,0.129063349,0.002081633,no
Duodenibacillus,Stool,0,Proteobacteria,0.39,0.385275774,0.023303632,no
Dysosmobacter,Stool,0,Firmicutes,0.12,0.123555422,0.00263849,no
Eggerthella,Stool,0,Actinobacteria,0.25,0.243973391,0.006533667,no
Eisenbergiella,Stool,0.02,Firmicutes,0.19,0.186299101,0.002100712,no
Enorma,Stool,0,Actinobacteria,0.39,0.433001285,0.035895181,yes
Enterocloster,Stool,0.02,Firmicutes,0.09,0.089641644,0.003880109,no
Erysipelatoclostridium,Stool,0,Firmicutes,0.08,0.11158767,0.01327009,yes
Escherichia/Shigella,Stool,0.29,Proteobacteria,0.1,0.106520084,0.007183148,yes
Faecalibacillus,Stool,0.24,Firmicutes,0.21,0.207897483,0.001936931,no
Faecalibacterium,Stool,0,Firmicutes,0.3,0.295100788,0.001051612,no
Faecalicatena,Stool,0,Firmicutes,0.13,0.143001961,0.01344417,yes
Faecalimonas,Stool,0,Firmicutes,0.13,0.134307361,0.013725918,yes
Flavonifractor,Stool,0.04,Firmicutes,0.18,0.172056666,0.003624088,no
Fournierella,Stool,0,Firmicutes,0.26,0.22724586,0.013567735,no
Frisingicoccus,Stool,0,Firmicutes,0.27,0.26919431,0.004232402,no
Fusicatenibacter,Stool,0,Firmicutes,0.21,0.214981265,0.001448294,no
Fusobacterium,Stool,0.01,Other,0.34,0.329461815,0.014108832,no
Gabonibacter,Stool,0,Bacteroidetes,0.46,0.702905983,0.153864872,yes
Gemmiger,Stool,0,Firmicutes,0.59,0.589602054,0.015831521,no
Gordonibacter,Stool,0.19,Actinobacteria,0.28,0.264123401,0.012675856,no
Haemophilus,Stool,0.64,Proteobacteria,0.06,0.075246229,0.011989619,yes
Holdemanella,Stool,0,Firmicutes,0.39,0.41113285,0.008108776,no
Holdemania,Stool,0,Firmicutes,0.25,0.239908709,0.011580547,no
Howardella,Stool,0,Firmicutes,0.1,0.090323927,0.006779973,yes
Hungatella,Stool,0,Firmicutes,0.04,0.032852894,0.007467736,yes
Hydrogeniiclostridium,Stool,0.07,Firmicutes,0.27,0.284538708,0.013662313,no
Ihubacter,Stool,0.21,Firmicutes,0.12,0.116798958,0.002015423,no
Intestinibacter,Stool,0.55,Firmicutes,0.06,0.066749883,0.005463101,yes
Intestinimonas,Stool,0.08,Firmicutes,0.14,0.144272228,0.002256536,no
Klebsiella,Stool,0,Proteobacteria,0.05,-0.002852864,0.021628423,yes
Lachnospira,Stool,0.09,Firmicutes,0.27,0.265823475,0.001559842,no
Lachnotalea,Stool,0,Firmicutes,0.07,0.074299346,0.012403728,yes
Lacrimispora,Stool,0,Firmicutes,0.22,0.214310225,0.00396023,no
Lacticaseibacillus,Stool,0,Firmicutes,0.35,0.296675502,0.11554461,yes
Lactococcus,Stool,0.46,Firmicutes,0.1,0.100970957,0.030719542,yes
Lawsonibacter,Stool,0,Firmicutes,0.29,0.296287945,0.004327771,no
Ligilactobacillus,Stool,0,Firmicutes,0.19,0.223188675,0.059852805,yes
Longibaculum,Stool,0,Firmicutes,0.4,0.425806056,0.035288763,yes
Longicatena,Stool,0,Firmicutes,0.14,0.137679775,0.018547793,yes
Mailhella,Stool,0,Proteobacteria,0.33,0.332964013,0.008742773,no
Marvinbryantia,Stool,0,Firmicutes,0.08,0.133043542,0.036881675,yes
Massiliimalia,Stool,0,Firmicutes,0.14,0.120631833,0.02096583,yes
Massilimicrobiota,Stool,0.33,Firmicutes,0.18,0.172809731,0.020940709,yes
Mediterraneibacter,Stool,0,Firmicutes,0.25,0.250329426,0.001966173,no
Megasphaera,Stool,0.07,Firmicutes,0.18,0.1340194,0.021647682,yes
Monoglobus,Stool,0.12,Firmicutes,0.23,0.230064153,0.007463768,no
Negativibacillus,Stool,0.06,Firmicutes,0.44,0.446862336,0.00410884,no
Neglecta,Stool,0.11,Firmicutes,0.25,0.254655747,0.004076358,no
Odoribacter,Stool,0.05,Bacteroidetes,0.31,0.30954594,0.002560708,no
Olsenella,Stool,0,Actinobacteria,0.54,0.487301326,0.044265628,yes
Oscillibacter,Stool,0.05,Firmicutes,0.28,0.286647172,0.001504295,no
Oxalobacter,Stool,0,Proteobacteria,0.44,0.43807841,0.004666374,no
Papillibacter,Stool,0,Firmicutes,0.43,0.455396419,0.064956493,yes
Parabacteroides,Stool,0.03,Bacteroidetes,0.37,0.369064548,0.001823989,no
Paraprevotella,Stool,0,Bacteroidetes,0.52,0.524103095,0.002741999,no
Parasutterella,Stool,0,Proteobacteria,0.32,0.32619617,0.003301793,no
Phascolarctobacterium,Stool,0,Firmicutes,0.42,0.42156178,0.002448194,no
Phocaeicola,Stool,0.17,Bacteroidetes,0.35,0.346713656,0.001667114,no
Phocea,Stool,0.03,Firmicutes,0.09,0.09349192,0.006287335,yes
